id_station_itinerance;code_insee_commune;coordonneesXY;puissance_nominale;consolidated_longitude;consolidated_latitude;consolidated_commune;nbre_pdc
FRS34P34203001;34203;[3.510427713394165, 43.4023551940918];22.0;3.510427713394165;43.4023551940918;Pinet;2
FRS34P34199004;34199;[3.40987491607666, 43.460426330566406];3.7;3.40987491607666;43.460426330566406;Pézenas;2
FRS34P34078001;34078;[3.9046027660369873, 43.86042404174805];22.0;3.9046027660369873;43.86042404174805;Claret;2
FRS34P34108003;34108;[3.758894443511963, 43.446800231933594];3.7;3.758894443511963;43.4468002319336;Frontignan;2
FRS34P34108001;34108;[3.7569806575775146, 43.4508171081543];22.0;3.756980657577514;43.4508171081543;Frontignan;2
FRS34P34094001;34094;[3.260641574859619, 43.44068145751953];3.7;3.260641574859619;43.44068145751953;Espondeilhan;2
FRS34P34081001;34081;[3.1413333415985107, 43.31379699707031];3.7;3.1413333415985107;43.31379699707031;Colombiers;2
FRS34P34108002;34108;[3.7549068927764893, 43.44302749633789];3.7;3.754906892776489;43.44302749633789;Frontignan;2
FRS34P34074003;34074;[3.049929141998291, 43.44939041137695];3.7;3.049929141998291;43.44939041137695;Cessenon-sur-Orb;2
FRS34P34073001;34073;[3.3059778213500977, 43.32271957397461];18.0;3.3059778213500977;43.32271957397461;Cers;2
FRS34P34071001;34071;[3.10575270652771, 43.80299758911133];22.0;3.10575270652771;43.80299758911133;Ceilhes-et-Rocozels;2
FRS34P34069001;34069;[3.111799955368042, 43.38690185546875];22.0;3.111799955368042;43.38690185546875;Cazouls-lès-Béziers;2
FRS34P34111001;34111;[3.710500717163086, 43.93310546875];22.0;3.710500717163086;43.93310546875;Ganges;2
FRS34P34063001;34140;[3.367011070251465, 43.5091667175293];22.0;3.367011070251465;43.5091667175293;;2
FRS34P34114004;34114;[3.5417230129241943, 43.651309967041016];3.7;3.5417230129241943;43.651309967041016;Gignac;2
FRS34P34344001;34344;[4.0877861976623535, 43.55794906616211];3.7;4.0877861976623535;43.55794906616211;La Grande-Motte;2
FRS34P34344002;34344;[4.079998016357422, 43.55967330932617];50.0;4.079998016357422;43.55967330932617;La Grande-Motte;1
FRS34P34344004;34344;[4.090311050415039, 43.5572395324707];3.7;4.090311050415039;43.5572395324707;La Grande-Motte;2
FRS34P34344003;34344;[4.083576202392578, 43.556419372558594];7.4;4.083576202392578;43.556419372558594;La Grande-Motte;2
FRS34P34114002;34114;[3.542588949203491, 43.650840759277344];3.7;3.542588949203491;43.650840759277344;Gignac;2
FRS34P34114003;34114;[3.5448193550109863, 43.651729583740234];22.0;3.5448193550109863;43.65172958374024;Gignac;2
FRS34P34114001;34114;[3.546786069869995, 43.64967346191406];43.0;3.546786069869995;43.64967346191406;Gignac;2
FRS34P34113002;34113;[3.7125277519226074, 43.49960708618164];43.0;3.712527751922608;43.49960708618164;Gigean;2
FRS34P34111002;34111;[3.7084391117095947, 43.931190490722656];22.0;3.7084391117095943;43.931190490722656;Ganges;2
FRS34P34060001;34060;[3.650836229324341, 43.80426025390625];3.7;3.650836229324341;43.80426025390625;Causse-de-la-Selle;2
FRS34P34010001;34010;[3.5851430892944336, 43.687408447265625];3.7;3.5851430892944336;43.687408447265625;Aniane;2
FRS34P34028001;34028;[3.15734601020813, 43.61552810668945];3.7;3.15734601020813;43.61552810668945;Bédarieux;2
FRS34P34025001;34025;[3.2553694248199463, 43.41050338745117];3.7;3.2553694248199463;43.41050338745117;Bassan;2
FRS34P34023001;34023;[3.6778221130371094, 43.43950653076172];22.0;3.677822113037109;43.43950653076172;Balaruc-les-Bains;2
FRS34P34024001;34024;[3.6865222454071045, 43.46076202392578];3.7;3.686522245407105;43.46076202392578;Balaruc-le-Vieux;2
FRS34P34031001;34031;[3.425018072128296, 43.35762405395508];3.7;3.425018072128296;43.35762405395508;Bessan;2
FRS34P34003002;34003;[3.494738817214966, 43.281227111816406];22.0;3.494738817214966;43.281227111816406;Agde;2
FRS34P34003001;34003;[3.518019437789917, 43.28561019897461];22.0;3.518019437789917;43.28561019897461;Agde;2
FRS34P34003003;34003;[3.478549003601074, 43.313663482666016];3.7;3.478549003601074;43.313663482666016;Agde;2
FRS34P34001001;34001;[3.296119451522827, 43.448848724365234];22.0;3.296119451522827;43.448848724365234;Abeilhan;2
FRS34P34031002;34031;[3.428497076034546, 43.373680114746094];3.7;3.428497076034546;43.373680114746094;Bessan;2
FRS34P34032002;34032;[3.216413974761963, 43.34088897705078];22.0;3.216413974761963;43.34088897705078;Béziers;2
FRS34P34052001;34052;[3.0450000762939453, 43.33000183105469];3.7;3.0450000762939453;43.33000183105469;Capestang;2
FRS34P34050001;34050;[4.069066047668457, 43.622100830078125];3.7;4.069066047668457;43.622100830078125;Candillargues;2
